date,outside,formula,inside,delta_t
2024-03-25,43,F1,42,1
2024-03-26,43,F1,42,1
2024-03-27,43,F1,42,1
2024-03-28,42,F1,40,2
2024-03-29,44,F1,43,1
2024-04-01,44,F1,43,1
2024-04-02,44,F1,43,1
2024-04-03,45,F1,44,1
2024-04-04,44,F1,43,1
2024-04-05,42,F1,40,2
2024-03-25,43,F2,41,2
2024-03-26,43,F2,41,2
2024-03-27,43,F2,41,2
2024-03-28,42,F2,40,2
2024-03-29,44,F2,42,2
2024-04-01,44,F2,42,2
2024-04-02,44,F2,42,2
2024-04-03,45,F2,43,2
2024-04-04,44,F2,42,2
2024-04-05,42,F2,40,2
2024-03-25,43,F3,39,4
2024-03-26,43,F3,38,5
2024-03-27,43,F3,39,4
2024-03-28,42,F3,38,4
2024-03-29,44,F3,39,5
2024-04-01,44,F3,40,4
2024-04-02,44,F3,40,4
2024-04-03,45,F3,42,3
2024-04-04,44,F3,41,3
2024-04-05,42,F3,38,4
2024-03-25,43,F4,37,6
2024-03-26,43,F4,36,7
2024-03-27,43,F4,36,7
2024-03-28,42,F4,36,6
2024-03-29,44,F4,38,6
2024-04-01,44,F4,37,7
2024-04-02,44,F4,37,7
2024-04-03,45,F4,38,7
2024-04-04,44,F4,37,7
2024-04-05,42,F4,36,6
2024-03-25,43,F5,37,6
2024-03-26,43,F5,37,6
2024-03-27,43,F5,36,7
2024-03-28,42,F5,36,6
2024-03-29,44,F5,37,7
2024-04-01,44,F5,37,7
2024-04-02,44,F5,38,6
2024-04-03,45,F5,38,7
2024-04-04,44,F5,38,6
2024-04-05,42,F5,36,6
